area,theme,topic,learning_objective
Foundational Concepts,Philosophical,Philosophical Perspectives,Evaluate the influences of one’s own philosophical views and assumptions on GIS&T practices
Foundational Concepts,Philosophical,Philosophical Perspectives,Identify the philosophical views and assumptions underlying the work of colleagues
Foundational Concepts,Social,Openness,Define Openness.
Foundational Concepts,Social,Openness,Explain the activities and importance of at least 3 Openness initiatives or activities in the area of GIS&T.
Foundational Concepts,Social,Openness,Explain the importance and implications in GIS&T of at least 3 benefits of Openness in the following areas: Open Data; Free and Open Source Software; and Open Standards.
Foundational Concepts,Social,Openness,"Identify at least 5 and explain at least 3 concerns, myths, or barriers to Openness in the areas of Open Data, Free and Open Source Software, and Open Standards."
Foundational Concepts,Social,Openness,Identify at least 5 fields or activities in which the principles of Openness are applied.
Foundational Concepts,Social,Openness,List at least 5 benefits of Openness in each of the following areas: Open Data; Free and Open Source Software; and Open Standards.
Foundational Concepts,Social,Openness,"Research and present a benefit of Openness in GIS&T that is debated, questioned, or that has been highlighted as requiring more research."
Foundational Concepts,Uncertainty,Definitions within a Conceptual Model of Uncertainty,Describe a stochastic error model for a natural phenomenon
Foundational Concepts,Uncertainty,Definitions within a Conceptual Model of Uncertainty,"Differentiate between the following concepts: vagueness and ambiguity, well defined and poorly defined objects, and fields or discord and non-specificity"
Foundational Concepts,Uncertainty,Definitions within a Conceptual Model of Uncertainty,Explain how the familiar concepts of geographic objects and fields affect the conceptualization of uncertainty
Foundational Concepts,Uncertainty,Error,Compare and contrast how systematic errors and random errors affect measurement of distance
Foundational Concepts,Uncertainty,Error,"Describe the causes of at least five different types of errors (e.g., positional, attribute, temporal, logical inconsistency, and incompleteness)"
Foundational Concepts,Uncertainty,Problems of Scale and Zoning,Define the ecological fallacy.
Foundational Concepts,Uncertainty,Problems of Scale and Zoning,Define the modifiable areal unit problem (MAUP) and describe its effects on mapping and statistical analysis.
Foundational Concepts,Uncertainty,Problems of Scale and Zoning,"Describe approaches for addressing problems of scale and zoning, including data disaggregation, ecological inference, and multi-scale analysis."
Foundational Concepts,Uncertainty,Problems of Scale and Zoning,Describe how punctiform and continuous spatial data may be represented by exhaustively partitioning regions into sets of non-overlapping spatial units.
Foundational Concepts,Uncertainty,Problems of Scale and Zoning,Describe the issue of scale and zoning in different spatial partitioning schemes.
Foundational Concepts,Uncertainty,Thematic Accuracy,Describe the component measures and the utility of a misclassification matrix
Foundational Concepts,Uncertainty,Thematic Accuracy,Describe the different measurement levels on which thematic accuracy is based
Foundational Concepts,Uncertainty,Thematic Accuracy,Discuss how measures of spatial autocorrelation may be used to evaluate thematic accuracy
Foundational Concepts,Uncertainty,Thematic Accuracy,"Explain the distinction between thematic accuracy, geometric accuracy, and topological fidelity"
Foundational Concepts,Uncertainty,Thematic Accuracy,Outline the SDTS and ISO TC211 standards for thematic accuracy
GIS&T and Society,Cognitive and Social Foundations,Alternative Representations,
GIS&T and Society,Cognitive and Social Foundations,Common-sense Geographies,Collaborate with non-GIS experts who use GIS to design applications that match commonsense understanding to an appropriate degree
GIS&T and Society,Cognitive and Social Foundations,Common-sense Geographies,Differentiate applications that can make use of common-sense principles of geography from those that should not
GIS&T and Society,Cognitive and Social Foundations,Common-sense Geographies,"Effectively communicate the design, procedures, and results of GIS projects to non-GIS audiences (clients, managers, general public)"
GIS&T and Society,Cognitive and Social Foundations,Common-sense Geographies,"Evaluate the impact of geospatial technologies (e.g., Google Earth) that allow non-geospatial professionals to create, distribute, and map geographic information"
GIS&T and Society,Cognitive and Social Foundations,Common-sense Geographies,Identify common-sense views of geographic phenomena that sharply contrast with established theories and technologies of geographic information
GIS&T and Society,Cognitive and Social Foundations,Cultural Influences,Collaborate effectively with colleagues of differing social backgrounds in developing balanced GIS applications
GIS&T and Society,Cognitive and Social Foundations,Cultural Influences,"Describe the ways in which the elements of culture (e.g., language, religion, education, traditions) may influence the understanding and use of geographic information"
GIS&T and Society,Cognitive and Social Foundations,Cultural Influences,Recognize the impact of one’s social background on one’s own geographic worldview and perceptions and how it influences one’s use of GIS
GIS&T and Society,Cognitive and Social Foundations,Political Influences,"Evaluate the influences of political actions, especially the allocation of territory, on human perceptions of space and place"
GIS&T and Society,Cognitive and Social Foundations,Political Influences,"Evaluate the influences of political ideologies (e.g., Marxism, Capitalism, conservative/liberal) on the understanding of geographic information"
GIS&T and Society,Cognitive and Social Foundations,Political Influences,Recognize the constraints that political forces place on geospatial applications in public and private sectors
GIS&T and Society,Critical Perspectives,"Balancing Data Access, Security, and Privacy",Assess the effect of restricting data in the context of the availability of alternate sources of data
GIS&T and Society,Critical Perspectives,"Balancing Data Access, Security, and Privacy",Exemplify areas where post-9/11 changes in policies have restricted or expanded data access
GIS&T and Society,Critical Perspectives,Epistemological Critiques,Define epistemology and differentiate it from ontology.
GIS&T and Society,Critical Perspectives,Epistemological Critiques,Discuss why the crux of human geographers’ objections to the role and presence of GIS in geography were epistemological in substance.
GIS&T and Society,Critical Perspectives,Epistemological Critiques,Identify and describe three prongs of epistemological critiques of GIS as they were advanced in the 1990s through the 2000s.
GIS&T and Society,Critical Perspectives,Epistemological Critiques,Identify and explain how GIScientists understand knowledge production in GIS.
GIS&T and Society,Critical Perspectives,Epistemological Critiques,Present GIScience scholars’ and theorists’ responses to external critiques of GIS.
GIS&T and Society,Critical Perspectives,Equity and Social Justice Best Practices,
GIS&T and Society,Critical Perspectives,Feminist Critiques of GIS,"Defend or refute the contention that the masculinist culture of computer work in general, and GIS work in particular, perpetuates gender inequality in GIS&T education and training and occupational segregation in the GIS&T workforce"
GIS&T and Society,Critical Perspectives,Feminist Critiques of GIS,Discuss the potential role of agency (individual action) in resisting dominant practices and in using GIS&T in ways that are consistent with feminist epistemologies and politics
GIS&T and Society,Critical Perspectives,Feminist Critiques of GIS,Explain the argument that GIS and remote sensing foster a “disembodied” way of knowing the world
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,"Distinguish between a core concept in troublesome knowledge, and a peripheral concept."
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,Distinguish normative ethics from critical ethics.
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,Explain how Foucault’s power-knowledge informs critical ethics.
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,Explain the “threshold concept” and give an example.
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,Explain the main principle of critical ethics.
GIS&T and Society,Critical Perspectives,GIS & Critical Ethics,"Identify “troublesome knowledge” and be able to create an example relevant to mapping and GIS.
Distinguish between a core concept in troublesome knowledge, and a peripheral concept."
GIS&T and Society,Critical Perspectives,Social Critiques,Defend or refute the contention that critical studies have an identifiable influence on the development of the information society in general and GIScience in particular
GIS&T and Society,Critical Perspectives,Social Critiques,"Describe the use of GIS from a political ecology point of view (e.g., consider the use of GIS for resource identification, conservation, and allocation by an NGO in Sub-Saharan Africa)"
GIS&T and Society,Critical Perspectives,Social Critiques,"Discuss the production, maintenance, and use of geospatial data by a government agency or private firm from the perspectives of a taxpayer, a community organization, and a member of a minority group"
GIS&T and Society,Critical Perspectives,Social Critiques,Explain how a tax assessor’s office adoption of GIS&T may affect power relations within a community
GIS&T and Society,Critical Perspectives,Social Critiques,Explain the argument that GIS is “socially constructed”
GIS&T and Society,Critical Perspectives,Social Critiques,"Explain the argument that, throughout history, maps have been used to depict social relations"
GIS&T and Society,GI as Property,Enforcing Control of GI,Describe defenses against various claims of copyright infringement
GIS&T and Society,GI as Property,Enforcing Control of GI,Discuss ways in which copyright infringements may be remedied
GIS&T and Society,GI as Property,Enforcing Control of GI,Explain the concept of “fair use” with regard to geospatial information
GIS&T and Society,GI as Property,Enforcing Control of GI,Identify types of copyright infringement
GIS&T and Society,GI as Property,Geopiracy,
GIS&T and Society,GI as Property,Mechanisms of Control of GI,"Describe advantages and disadvantages of “open” alternatives to copyright protection, such as the Creative Commons"
GIS&T and Society,GI as Property,Mechanisms of Control of GI,Differentiate geospatial information from other works protected under copyright law
GIS&T and Society,GI as Property,Mechanisms of Control of GI,"Distinguish among the various intellectual property rights, including copyright, patent, trademark, business methods, and other rights"
GIS&T and Society,GI as Property,Mechanisms of Control of GI,Explain how databases may be protected under U.S. copyright law
GIS&T and Society,GI as Property,Mechanisms of Control of GI,Explain how maps may be protected under U.S. copyright law
GIS&T and Society,GI as Property,Mechanisms of Control of GI,Outline the intellectual property protection clause of a contract that a local government uses to license geospatial data to a community group
GIS&T and Society,GI as Property,Property Regimes,Argue for and against the treatment of geospatial information as a commodity
GIS&T and Society,GI as Property,Property Regimes,"Compare and contrast the consequences of different national policies about rights to geospatia data in terms of the real costs of spatial data, their coverage, accuracy, uncertainty, reliability, validity, and maintenance"
GIS&T and Society,GI as Property,Property Regimes,Compare and contrast the U.S. federal government’s policy regarding rights to geospatial data with similar policies in other countries
GIS&T and Society,GI as Property,Property Regimes,Describe organizations’ and governments’ incentives to treat geospatial information as property
GIS&T and Society,GI as Property,Property Regimes,Explain the legal concept “property regime”
GIS&T and Society,GI as Property,Property Regimes,Outline arguments for and against the notion of information as a public good
GIS&T and Society,Governance and Agency,Aggregation of Spatial Entities with spatial focus on redistricting,"Demonstrate how changing the geometry of regions changes the data values (e.g., voting patterns before and after redistricting"
GIS&T and Society,Governance and Agency,Aggregation of Spatial Entities with spatial focus on redistricting,Demonstrate the relationship between district size (resolution/support) and patterns in aggregate data
GIS&T and Society,Governance and Agency,Aggregation of Spatial Entities with spatial focus on redistricting,"Discuss the potential pitfalls of using regions to aggregate geographic information (e.g., census data) Know the definition and origins of the term gerrymandering."
GIS&T and Society,Governance and Agency,Aggregation of Spatial Entities with spatial focus on redistricting,Explain the nature and causes of the Modifiable Areal Unit Problem (MAUP)
GIS&T and Society,Governance and Agency,Aggregation of Spatial Entities with spatial focus on redistricting,Explain the two modifiable areal unit effects that can occur during the districting process.
GIS&T and Society,Governance and Agency,Balancing Security & Open Access to Geospatial Data,Discuss the way that a legal regime balances the need for security of geospatial data with the desire for open access
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Define Citizen Science, Crowdsourcing, Volunteered Geographic Information (VGI), Gamification and Hackathon"
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Demonstrate an understanding of models of participation (contractual projects, contributory projects, collaborative projects, co-created projects, collegial contributions) (Shirk et al., 2012)."
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Describe some methods of encouraging and sustaining engagement in Citizen Science projects using GIS&T (gamification, crowdsourcing initiatives, mapping parties, hackathons)"
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Describe the five elements of the Framework for citizen science projects (inputs, activities, outputs, outcomes, impacts) (Shirk et al., 2012)."
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Discuss different types of Citizen Science activities (passive sensing, volunteer computing, volunteer thinking, environmental and ecological observation, participatory sensing, community/civic science) and potential motivations (intrinsic and extrinsic motives) participants may have to engage with projects"
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Discuss some positive (increased interest in science, innovations in GIS&T) and negative aspects (digital divide issues, purposeful misinformation) that may affect people when using GIS&T in Citizen Science projects"
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Discuss the benefits (greater participation rates, increased external validity, decreased loss of follow-up, increased individual and community capacity) and drawbacks (selection bias, decreased randomization, unrepresentative groups) for community involvement in community-based participatory research"
GIS&T and Society,Governance and Agency,Citizen Science with GIS&T,"Discuss ways of handling potential data quality issues associated with data collected through GIS&T on Citizen Science projects (moderation, checking data) and the value of collected data (increased awareness and support, scales of possible data collection)"
GIS&T and Society,Governance and Agency,Codes of Ethics for Geospatial Professionals,Compare and contrast the ethical guidelines promoted by the GIS Certification Institute (GISCI) and the American Society for Photogrammetry and Remote Sensing (ASPRS)
GIS&T and Society,Governance and Agency,Codes of Ethics for Geospatial Professionals,Describe the sanctions imposed by ASPRS and GISCI on individuals whose professional actions violate the codes of ethics
GIS&T and Society,Governance and Agency,Codes of Ethics for Geospatial Professionals,Explain how one or more obligations in the GIS Code of Ethics may conflict with organizations’ proprietary interests
GIS&T and Society,Governance and Agency,Codes of Ethics for Geospatial Professionals,Propose a resolution to a conflict between an obligation in the GIS Code of Ethics and organizations’ proprietary interests
GIS&T and Society,Governance and Agency,Implications of Distributed GIS&T,"Describe how inter-organization GIS portals may impact or influence issues related to social equity, privacy and data access"
GIS&T and Society,Governance and Agency,Implications of Distributed GIS&T,Describe the advantages and disadvantages to an organization in using GIS portal information from other organizations
GIS&T and Society,Governance and Agency,Implications of Distributed GIS&T,Discuss how distributed GIS&T may affect the nature of organizations and relationships among institutions
GIS&T and Society,Governance and Agency,Implications of Distributed GIS&T,Suggest the possible societal and ethical implications of distributed GIS&T
GIS&T and Society,Governance and Agency,Marginal Societies,
GIS&T and Society,Governance and Agency,Professional & Practical Ethics of GIS&T,Compare and contrast professional and practical (“internalist”) perspectives and critical (“externalist”) perspectives on the ethics of GIS&T.
GIS&T and Society,Governance and Agency,Professional & Practical Ethics of GIS&T,Demonstrate ethical creativity by posing multiple possible solutions to an ethical challenge. Resist the temptation to reduce such challenges to simplistic dilemmas.
GIS&T and Society,Governance and Agency,Professional & Practical Ethics of GIS&T,Demonstrate the ability to reason about an ethical challenge in the professional practice of GIS by methodically analyzing an ethics case study.
GIS&T and Society,Governance and Agency,Professional & Practical Ethics of GIS&T,"Identify provisions of the GIS Code of Ethics that are relevant to particular ethical challenges, especially provisions that appear to be contrary."
GIS&T and Society,Governance and Agency,Public Participation GIS,Critique the assertion that public participation GIS promotes democracy
GIS&T and Society,Governance and Agency,Public Participation GIS,"Discuss advantages and disadvantages of six models of GIS availability, including communitybased GIS, university-community partnerships, GIS facilities in universities and public libraries, “Map rooms,” Internet map servers, and neighborhood GIS centers."
GIS&T and Society,Governance and Agency,Public Participation GIS,Explain how community organizations’ use of geospatial technologies can alter existing community power relations
GIS&T and Society,Governance and Agency,Public Participation GIS,Explain how geospatial technologies can assist community organizations at each rung of the ladder of public participation
GIS&T and Society,Governance and Agency,Public Participation GIS,Explain the challenge of representing within current GIS software local knowledge that is neither easily mapped nor verified
GIS&T and Society,Governance and Agency,Public Participation GIS,Explain why some community organizations may encounter more difficulty than others in acquiring geospatial data from public and private organizations
GIS&T and Society,Governance and Agency,Spatial Decision Support,Characterize the role of GIS as a generator for SDSS
GIS&T and Society,Governance and Agency,Spatial Decision Support,Define “spatial decision support system”
GIS&T and Society,Governance and Agency,Spatial Decision Support,Describe the scope and importance of spatial decision-making in society
GIS&T and Society,Governance and Agency,Spatial Decision Support,"Differentiate decision problems by their complexity, scope, nature of decision-makers, and spatiality"
GIS&T and Society,Governance and Agency,Spatial Decision Support,Explain the role of descriptive and normative models in spatial decision support
GIS&T and Society,"Law, Regulation, and Policy",Contract Law,Differentiate “contracts for service” from “contracts of service”
GIS&T and Society,"Law, Regulation, and Policy",Contract Law,Discuss potential legal problems associated with licensing geospatial information
GIS&T and Society,"Law, Regulation, and Policy",Contract Law,Identify the liability implications associated with contracts
GIS&T and Society,"Law, Regulation, and Policy",Legal Mechanisms for Sharing Geospatial Info,"Describe contracts, licenses, and other mechanisms for sharing geospatial data"
GIS&T and Society,"Law, Regulation, and Policy",Legal Mechanisms for Sharing Geospatial Info,Outline the terms of a licensing agreement with a local engineering consulting firm that a manager of a county government GIS office would employ if charged to recoup revenue through sale and licensure of county data
GIS&T and Society,"Law, Regulation, and Policy",Liability,"Describe cases of liability claims associated with misuse of geospatial information, erroneous information, and loss of proprietary interests"
GIS&T and Society,"Law, Regulation, and Policy",Liability,"Describe strategies for managing liability risk, including disclaimers and data quality standards"
GIS&T and Society,"Law, Regulation, and Policy",Liability,Describe the nature of tort law generally and nuisance law specifically
GIS&T and Society,"Law, Regulation, and Policy",Liability,"Differentiate among contract liability, tort liability, and statutory liability"
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Define location privacy.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Describe ways to protect location privacy.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,"Discuss how spatial data, GPS-enabled devices such as smartphones, the Internet of Things (geolocated objects that provide their location), and the Software as a Service (SaaS) GIS model have combined to bring society to its current high concern about location privacy."
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Discuss societal benefits and potential societal harm from the use of individuals’ location information.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Discuss the types of location privacy.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Draw connections between location privacy and GIS&T.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,Situate location privacy within general privacy.
GIS&T and Society,"Law, Regulation, and Policy",Location Privacy,"Use activity based on individuals’ location information, such as adding data to a crowdsourced map or using map showing social media postings on specific topics."
GIS&T and Society,"Law, Regulation, and Policy",The Legal Regime,Compare and contrast the relationship of the geospatial profession and the U.S. legal regime with similar relationships in other countries
GIS&T and Society,"Law, Regulation, and Policy",The Legal Regime,Discuss ways in which the geospatial profession is regulated under the U.S. legal regime
Knowledge Economy,Coordinating Organizations,"Agency, organizational, and individual perspectives",
Knowledge Economy,Coordinating Organizations,"Data sharing among public and private agencies, organizations, and individuals",Describe a situation in which politics interferes with data sharing and exchange
Knowledge Economy,Coordinating Organizations,"Data sharing among public and private agencies, organizations, and individuals","Describe formal and informal arrangements that promote geospatial data sharing (e.g., FGDC, ESDI, memoranda of agreements, informal access arrangements, targeted funding support)"
Knowledge Economy,Coordinating Organizations,Multi-Organizaional GIS Coordination,Describe how state GIS councils can be used in enterprise GIS&T implementation processes
Knowledge Economy,Coordinating Organizations,Multi-Organizaional GIS Coordination,"Determine if your state has a Geospatial Information Office (GIO) and discuss the mission, history, constituencies, and activities of a GIO"
Knowledge Economy,Coordinating Organizations,Multi-Organizaional GIS Coordination,"Discuss how informal and formal regional bodies (e.g., Metro GIS) can help support GIS&T in an organization"
Knowledge Economy,Coordinating Organizations,Multi-Organizaional GIS Coordination,"Discuss the mission, history, constituencies, and activities of National States Geographic Information Council (NSGIC)"
Knowledge Economy,Coordinating Organizations,Multi-Organizaional GIS Coordination,"Explain the functions, mission, history, constituencies, and activities of your state GIS Council and related formal and informal bodies"
Knowledge Economy,Coordinating Organizations,Publications,Describe the leading academic journals serving the GIS&T community
Knowledge Economy,Coordinating Organizations,Publications,Develop a bibliography of scholarly and professional articles and/or books that are relevant to a particular GIS&T project
Knowledge Economy,Coordinating Organizations,Publications,Select and describe the leading trade journals serving the GIS&T community
Knowledge Economy,Coordinating Organizations,Publications,Select association and for-profit journals that are useful to entities managing enterprise GISs
Knowledge Economy,Coordinating Organizations,The Geospatial Community,Describe possible benefits to an organization by participating in a given society that is related to GIS&T
Knowledge Economy,Coordinating Organizations,The Geospatial Community,"Discuss the value or effect of participation in societies, conferences, and informal communities to entities managing enterprise GIS"
Knowledge Economy,Coordinating Organizations,The Geospatial Community,Identify conferences that are related to GIS&T
Knowledge Economy,Coordinating Organizations,The Geospatial Industry,"Assess the involvement of non-GIS companies (e.g., Microsoft, Google) in the geospatial industry"
Knowledge Economy,Coordinating Organizations,The Geospatial Industry,"Describe the U.S. geospatial industry including vendors, software, hardware and data"
Knowledge Economy,Coordinating Organizations,The Geospatial Industry,"Describe three applications of geospatial technology for different workforce domains (e.g., first responders, forestry, water resource management, facilities management)"
Knowledge Economy,Coordinating Organizations,The Geospatial Industry,"Explain why software products sold by U.S. companies may predominate in foreign markets, including Europe and Australia"
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Choose suitable visual dimensions to appropriately represent their multiple variables.
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,"Consider variations upon, or alternatives to, bivariate and multivariate mapping."
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Create maps that encode multiple variables into map symbolization.
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,"Describe categories, and specific methods, of bivariate and multivariate mapping."
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Design effective and concise legends for bivariate and multivariate maps.
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Discuss the relative merits of bivariate and multivariate cartography for their topic and audience.
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Explain the nature of relationships between phenomena in a bivariate choropleth map.
Knowledge Economy,Coordinating Organizations,Value of Geospatial Professional Organizations,Identify interesting relationships uniquely revealed by their bivariate or multivariate representation.
Knowledge Economy,Design & Implementation of GIS&T,Application User Assessment,
Knowledge Economy,Design & Implementation of GIS&T,Budgeting for GIS Management,
Knowledge Economy,Design & Implementation of GIS&T,Feasibility Analysis,
Knowledge Economy,Design & Implementation of GIS&T,Managing GIS Operations & Infrastructure,Calculate the estimated schedule required to carry out all of the implementation steps for an enterprise GIS of a given size
Knowledge Economy,Design & Implementation of GIS&T,Managing GIS Operations & Infrastructure,Describe the components of a needs assessment for an enterprise GIS
Knowledge Economy,Design & Implementation of GIS&T,Managing GIS Operations & Infrastructure,Exemplify each component of a needs assessment for an enterprise GIS
Knowledge Economy,Design & Implementation of GIS&T,Managing GIS Operations & Infrastructure,Indicate the possible justifications that can be used to implement an enterprise GIS
Knowledge Economy,Design & Implementation of GIS&T,Managing GIS Operations & Infrastructure,"List some of the topics that should be addressed in a justification for implementing an enterprise GIS (e.g., return on investment, workflow, knowledge sharing)"
Knowledge Economy,Design & Implementation of GIS&T,Problem Definition,
Knowledge Economy,Design & Implementation of GIS&T,Requirements Analysis,
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Categorize strategies for creating a schedule for the design and implementation of a GIS
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Create a proposal to justify the funding necessary for the design process of a GIS
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Describe project management tools and techniques to manage the design process
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Describe the methods for collaborating effectively with a variety of people in a design team
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Explain how and why to use Gantt and PERT charts to track scheduling and progress
Knowledge Economy,Design & Implementation of GIS&T,Strategic Planning for GIS Design,Identify and describe the people (roles) necessary to effectively design a GIS
Knowledge Economy,Design & Implementation of GIS&T,Systems Modeling for Effective GIS Management,Describe how a system management focus can ensure well balanced GIS capability development and effective operational practices
Knowledge Economy,Design & Implementation of GIS&T,Systems Modeling for Effective GIS Management,"Describe how a system model can be used to design, implement, operate, maintain, assess, and manage a GIS."
Knowledge Economy,Design & Implementation of GIS&T,Systems Modeling for Effective GIS Management,Describe how system design and management concepts can support effective GIS operation
Knowledge Economy,Design & Implementation of GIS&T,Systems Modeling for Effective GIS Management,Describe how to articulate GIS design and operational needs to internal technical support staff
Knowledge Economy,Design & Implementation of GIS&T,The Process of GIS&T Design,Analyze past cases to identify best practices of design and implementation
Knowledge Economy,Design & Implementation of GIS&T,The Process of GIS&T Design,Compare and contrast the relative merits of the use-case driven and architecture-centric design processes
Knowledge Economy,Design & Implementation of GIS&T,The Process of GIS&T Design,Describe the major approaches to the design of geospatial systems
Knowledge Economy,Design & Implementation of GIS&T,User Support,
Knowledge Economy,GIS Operations,Capital: Facilities and Equipment,
Knowledge Economy,GIS Operations,Funding,Analyze previous attempts at funding to identify successful and unsuccessful techniques
Knowledge Economy,GIS Operations,Funding,Create proposals and presentations to secure funding
Knowledge Economy,GIS Operations,Funding,Identify potential sources of funding (internal and external) for a project or enterprise GIS
Knowledge Economy,GIS Operations,Implementation Planning,Create a budget for the resources needed to implement the system
Knowledge Economy,GIS Operations,Implementation Planning,Create a schedule for the implementation of a geospatial system based on a complete design
Knowledge Economy,GIS Operations,Implementation Planning,"Discuss pros and cons of different implementation strategies (e.g., spiral development versus waterfall development) given the needs of a particular system"
Knowledge Economy,GIS Operations,Implementation Planning,Discuss the importance of planning for implementation as opposed to “winging it”
Knowledge Economy,GIS Operations,Organizational Models for GIS Management,Characterize general organizational models as a starting point to describe GIS program management models
Knowledge Economy,GIS Operations,Organizational Models for GIS Management,Define “GIS Management” as a basis for examining organizational models for GIS programs
Knowledge Economy,GIS Operations,Organizational Models for GIS Management,Describe the strengths and weaknesses of different management practices and GIS program governance through the lens of Organization Models
Knowledge Economy,GIS Operations,Organizational Models for GIS Management,Identify the main types of organizational models for GIS program management with examples of how they are implemented in different types of organizations
Knowledge Economy,GIS Operations,Organizational Models for GIS Management,Understand the structure and missions of different types of organizations which manage GIS programs
Knowledge Economy,GIS&T Benefits and Costs,Data Costs,
Knowledge Economy,GIS&T Benefits and Costs,Economics & the Role of Information,
Knowledge Economy,GIS&T Benefits and Costs,Measuring Costs,Describe some non-fiduciary barriers to GIS implementation
Knowledge Economy,GIS&T Benefits and Costs,Measuring Costs,Explain how the saying “developing data is the largest single cost of implementing GIS” could be true for an organization that is already collecting data as part of its regular operations
Knowledge Economy,GIS&T Benefits and Costs,Measuring Costs,Outline sources of additional costs associated with development of an enterprise GIS
Knowledge Economy,GIS&T Benefits and Costs,Measuring Costs,Outline the categories of costs that an organization should anticipate as it plans to design and implement a GIS
Knowledge Economy,GIS&T Benefits and Costs,Measuring Costs,Summarize what the literature suggests as means for overcoming some of the non-fiduciary barriers to GIS implementation
Knowledge Economy,GIS&T Benefits and Costs,Models of Benefits,
Knowledge Economy,GIS&T Benefits and Costs,Valuing and Measuring Benefits,"Compare and contrast the evaluation of benefits at different scales (e.g., national, regional/state, local)"
Knowledge Economy,GIS&T Benefits and Costs,Valuing and Measuring Benefits,"Describe the potential benefits of geospatial information in terms of efficiency, effectiveness, and equity"
Knowledge Economy,GIS&T Benefits and Costs,Valuing and Measuring Benefits,"Distinguish between operational, organizational, and societal activities that rely upon geospatial information"
Knowledge Economy,GIS&T Benefits and Costs,Valuing and Measuring Benefits,Explain how cost-benefit analyses can be manipulated
Knowledge Economy,GIS&T Benefits and Costs,Valuing and Measuring Benefits,Identify practical problems in defining and measuring the value of geospatial information in land or other business decisions
Knowledge Economy,GIS&T Workforce,Competence in GIS&T Knowledge Work,Discuss the evolution of GIS knowledge work in an age of increasingly capable machines.
Knowledge Economy,GIS&T Workforce,Competence in GIS&T Knowledge Work,"Explain how the DeSeCo program’s three categories of individual competencies – the ability to use tools, the ability to interact win heterogeneous groups, and the ability to act autonomously – relate to professional practice in the geospatial field."
Knowledge Economy,GIS&T Workforce,Competence in GIS&T Knowledge Work,Explain the relationship of major geospatial professions to the three industry sectors of the U.S. Department of Labor’s Geospatial Technology Competency Model (GTCM).
Knowledge Economy,GIS&T Workforce,Competence in GIS&T Knowledge Work,Self-assess your competencies relative to the Geospatial Technology Competency Model.
Knowledge Economy,GIS&T Workforce,GIS&T Education and Training,Compare and contrast the “first” and “second” phases of GIS&T education.
Knowledge Economy,GIS&T Workforce,GIS&T Education and Training,"Describe the curricular, research, and administrative roles that GIS plays in higher education."
Knowledge Economy,GIS&T Workforce,GIS&T Education and Training,"Explain how GIS educational has mirrored advances in computing and digital technologies, and the role of the Internet."
Knowledge Economy,GIS&T Workforce,GIS&T Education and Training,Summarize the origins of GIS&T education in formal learning environments.
Knowledge Economy,GIS&T Workforce,GIS&T Positions and Qualifications,"Describe the role of internships, professional certification, software certifications, and accreditation in relation to GIS&T positions and qualifications."
Knowledge Economy,GIS&T Workforce,GIS&T Positions and Qualifications,Discuss the role of academic programs in GIS&T including certificates and degree programs.
Knowledge Economy,GIS&T Workforce,GIS&T Positions and Qualifications,Identify standard occupational codes that are relevant to GIS&T.
Knowledge Economy,GIS&T Workforce,GIS&T Positions and Qualifications,Identify types of GIS&T positions and their qualifications and explain why it has been difficult for many agencies and organizations to define positions and roles for GIS&T professionals.
Knowledge Economy,GIS&T Workforce,GIS&T Workforce Development,Describe issues that may hinder implementation and continued successful operation of a GIS if effective methods of staff development are not included in the process
