Competency,Topic,Sub-topic,Level,learning_objective
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"17. Differentiate among environmental determinism, possibilism, environmental perception, and cultural determinism",Application (A),· Cultural determinism
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),1. Distinguish the contributions of the following individuals to the field of Geospatial Intelligence (GEOINT): 
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Waldo Tobler
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Harvey J. Miller
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Edgar Frank Codd
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Dr. Irene K. Fischer
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· George Washington
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Lt. Gen. James R. Clapper
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Maj. Gen. Richard M. Wells
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Lt. Gen. Abner Martin
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Thomas C. Finnie
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Ivan Getting
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· John Snow
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Brad Parkinson
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"18. Identify the contributions of Tobler, Miller, EF Codd, Fisher, George Washington, James Clapper, Richard Wells, Abner Martin, Thomas Finnie, Ivan Getting, John Snow, Brad Parkinson, and Mary Sears to Geospatial Intelligence (GEOINT)",Application (A),· Mary Sears
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,19. Trace the lineage of National Geospatial-Intelligence Agency (NGA) to the start of WWII,Application (A),1. Order the lineage of National Geospatial-Intelligence Agency (NGA) to the start of WWII.
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),1. Characterize the significance of the following events as they pertain to Geospatial Intelligence (GEOINT): 
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),· Haiti earthquake
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),· Crash of Columbia
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),· Landsat
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),· Ho Chi Minh Trail
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),"· OXCART, Apollo 11"
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),"· KH-9, KH-7"
GIS & ANALYSIS TOOLS,T13. Fundamental Concepts in Geography,"20. Describe the significance of the following events as they pertain to GEOINT Haiti earthquake, Crash of Columbia, Landsat, Ho Chi Minh Trail, OXCART, Apollo 11, KH-9, KH-7, and CORONA",Application (A),· CORONA
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),1. Experience with statistical and neural network scenario modeling.,Prerequisites (P),1. Summarize how statistical modeling and neural network scenario modeling is used in Geospatial Intelligence (GEOINT). 
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"2. Knowledge of statistics, probabilities, economics, or ",Prerequisites (P),"1. Summarize the basic principles of statistics, probabilities, and economics and explain how they can be used in other fields."
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"Decision analysis, including optimization methods.",Prerequisites (P),2. List the various methods of performing a decision analysis.
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),3. knowledge of relational and non-relational database technologies,Prerequisites (P),1. Differentiate relational and non-relational database technologies.
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. The ability to develop and refine machine learning, data mining, and statistical algorithms for pattern recognition, anomaly detection, and prediction",Foundational (F),"1. Outline how machine learning, data mining, and statistical algorithms refine pattern recognition, anomaly detection, and prediction."
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"2. Ability to design, test, and debug software applying Neural networks/Artificial Intelligence (AI) methodologies ",Foundational (F),"1. Outline how neural networks and Artificial Intelligence (AI) are used to design, test, and debug software."
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Recognize differences of Supervised, Unsupervised, and Reinforced learning",Application (A),"1. Differentiate supervised, unsupervised, and reinforced learning and characterize when each should be applied."
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"2. Know when to apply Supervised, Unsupervised, and Reinforced machine learning",Application (A),
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),1. Implement the following techniques when using neural networks and Artificial Intelligence (AI):
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Regression
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Naive Bayesian Classifier
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Clustering
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Matrix Factorization
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· k-Nearest Neighbors
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Natural Language Processing
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Decision Trees
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Support Vector Machines
GIS & ANALYSIS TOOLS,T14. Neural Networks/Artificial Intelligence (AI),"1. Apply Regression, Naive Bayesian classifier, Clustering, Matrix Factorization, k-Nearest Neighbors, Natural Language processing, Decision trees, Support Vector Machines, Neural Networks & Deep Learning",Mastery/UGP (M/U),· Deep Learning
REMOTE SENSING,Science Essentials,Units of measure and calculations,Pre-requisite,"List SI units of measure used for mass, energy, force, illumination, brightness, wavelength, frequency, length, time, and power. "
REMOTE SENSING,Science Essentials,Units of measure and calculations,Pre-requisite,"Convert from imperial units of measure to SI units of measure for mass, energy, force, illumination, brightness, wavelength, frequency, length, time, and power. "
REMOTE SENSING,Science Essentials,Units of measure and calculations,Pre-requisite,Perform dimensional analysis to determine correct units of measure when solving equations
REMOTE SENSING,Science Essentials,Units of measure and calculations,Pre-requisite,"Match the appropriate SI prefix to the scientific notation/multiplier (ex., centi -10-2)"
REMOTE SENSING,Science Essentials,Fundamental biology,Pre-requisite,Describe the basics of the process of human vision
REMOTE SENSING,Science Essentials,Fundamental biology,Pre-requisite,Describe the hydrologic cycle
REMOTE SENSING,Science Essentials,Fundamental biology,Pre-requisite,Describe the process of photosynthesis
REMOTE SENSING,Science Essentials,Fundamental biology,Pre-requisite,Describe how pigment systems transfer physical energy to chemical energy
REMOTE SENSING,Science Essentials,Scientific processes,Pre-requisite,List the steps in the scientific method
REMOTE SENSING,Science Essentials,Scientific processes,Pre-requisite,Formulate a hypothesis and null hypothesis
REMOTE SENSING,Science Essentials,Scientific processes,Pre-requisite,"Graph data using a histogram, scatterplot, and line graph"
REMOTE SENSING,Science Essentials,Scientific processes,Pre-requisite,Describe Type I and Type II errors
REMOTE SENSING,Science Essentials,Physics,Pre-requisite,Describe color theory
REMOTE SENSING,Science Essentials,Physics,Pre-requisite,Describe conservation of mass and energy
REMOTE SENSING,Science Essentials,Physics,Pre-requisite,Describe the conservation of momentum
REMOTE SENSING,Science Essentials,Physics,Pre-requisite,Describe the conservation of angular momentum
REMOTE SENSING,Science Essentials,Physics,Pre-requisite,Describe Newton's 3 laws of motion
REMOTE SENSING,Science Essentials,Mathematics,Pre-requisite,Solve equations requiring basic algebra(no polynomial terms)
REMOTE SENSING,Science Essentials,Mathematics,Pre-requisite,Plot coordinates in a cartesian plane
REMOTE SENSING,Science Essentials,Mathematics,Pre-requisite,Substitute numeric values for constants to solve a polynomial
REMOTE SENSING,Science Essentials,Mathematics,Pre-requisite,"Given a set of values, calculate mean, median, mode, frequency, minimum, maximum, standard deviation, skewness, and kurtosis with the aid of a spreadsheet or calculator"
REMOTE SENSING,Science Essentials,Mathematics,Pre-requisite,Differentiate between rounding and truncation
REMOTE SENSING,Science Essentials,Physics,Essentials,Compare and contrast light as a particle and light as a wave
REMOTE SENSING,Science Essentials,Physics,Essentials,"Describe Planck's law with respect to spectral density, temperature, and a black body"
REMOTE SENSING,Science Essentials,Physics,Essentials,Describe Stefan-Boltzmann's law with respect to radiant emittance and temperature
REMOTE SENSING,Science Essentials,Physics,Essentials,"Calculate emissivity when given radiant emittance, Stefan-Boltzmann constant, and temperature"
REMOTE SENSING,Science Essentials,Physics,Essentials,"Define black body, gray body, radiant emittance, energy flux, power, wavelength, and frequency"
REMOTE SENSING,Science Essentials,Physics,Essentials,Identify the major bandwidth groups associated with the electro-magnetic spectrum
REMOTE SENSING,Science Essentials,Physics,Essentials,Define the solar constant and provide its value at the outer-most edge of the Earth's atmosphere
REMOTE SENSING,Science Essentials,Physics,Essentials,Describe atmospheric attenuation as it relates to wavelength
REMOTE SENSING,Science Essentials,Physics,Essentials,Describe Fraunhofer lines and why they are useful in remote sensing of the Earth
REMOTE SENSING,Science Essentials,Physics,Essentials,Define the Law of Conservation of Energy
REMOTE SENSING,Science Essentials,Physics,Essentials,"Define Raleigh, Mie, and nonselective scattering"
REMOTE SENSING,Science Essentials,Physics,Essentials,"Describe the specific atmospheric absorption effects of ozone, water vapor, and carbon dioxide"
REMOTE SENSING,Science Essentials,Physics,Essentials,Define the term atmospheric window and identify those most appropriate for remote sensing
REMOTE SENSING,Science Essentials,Terminology,Essentials,"Define the following terms and specify their appropriate units of measure: spectral reflectance, radiant emmitance, energy flux, frequency, emissivity, phase, bandwidth, spectral resolution, illumination, reflectivity, absoprtion, absorbance, transmission, radiance, irradiance, radiometric resolution, "
REMOTE SENSING,Science Essentials,Terminology,Essentials,Define remote sensing and describe its purpsose
REMOTE SENSING,Science Essentials,Terminology,Essentials,List the major steps in remote sensing
REMOTE SENSING,Science Essentials,Mathematics,Essentials,Create a histogram
REMOTE SENSING,Science Essentials,Mathematics,Essentials,Solve equations using polynomials
REMOTE SENSING,Science Essentials,Mathematics,Essentials,Solve equations using exponents
REMOTE SENSING,Science Essentials,Mathematics,Essentials,Graph polynomial equations
REMOTE SENSING,Science Essentials,Computer Science,Essentials,"Define bit, byte, and binary"
REMOTE SENSING,Science Essentials,Computer Science,Essentials,Describe how an RGB pixel renders color
REMOTE SENSING,Science Essentials,Computer Science,Essentials,Describe screen resolution with respect to pixels
REMOTE SENSING,Science Essentials,Computer Science,Essentials,Listy lossy data types
REMOTE SENSING,Science Essentials,Computer Science,Essentials,Compare lossy with non-lossy data compression methods.
REMOTE SENSING,Science Essentials,Computer Science,Essentials,Describe the relationship between pixel depth and data size on disk
REMOTE SENSING,Science Essentials,Computer Science,Essentials,"Differentiate between tif, jpg, png, and similar image storage formats"
REMOTE SENSING,Science Essentials,Computer Science,Essentials,"List commonly used remotely sensed data formats (e.g., Band Interleaved by Line [BIL], Band Interleaved by Pixel [BIP], Band SeQuential [BSQ]) and their uses."
REMOTE SENSING,Science Essentials,Computer Science,Application,"Given appropriate values solve for transmission, absorption, and reflectance."
REMOTE SENSING,Science Essentials,Computer Science,Application,Identify the spectral signature of an object
REMOTE SENSING,Science Essentials,Computer Science,Application,Describe spectroscopy and its uses
REMOTE SENSING,Science Essentials,Computer Science,Application,Identify resources which help with the identification of an object based upon spectral properties
REMOTE SENSING,Science Essentials,Computer Science,Application,"Given Plank's Law and/or Stefan-Boltzman's Law, identify the variables and constants used"
REMOTE SENSING,Science Essentials,Computer Science,Application,"Given a set of values for an equation with stated units of measure that are not compatible for calculation, convert to appropriate SI units and solve"
REMOTE SENSING,Science Essentials,Computer Science,Application,Estimate the area under a curve
REMOTE SENSING,Science Essentials,Computer Science,Application,Perform compensatory calculations to adjust for atmospheric effects
REMOTE SENSING,Science Essentials,Computer Science,Application,"Correct for image distortion due to the perspective of the sensor optics, the motion of the scanning system, the motion and (in)stability of the platform, the platform altitude, attitude, and velocity, the terrain relief, and the curvature and rotation of the Earth."
REMOTE SENSING,Science Essentials,Computer Science,Application,"Differentiate and select the appropriate processing level of data for a given need (L1, L2…)"
REMOTE SENSING,Science Essentials,Computer Science,Application,Differentiate between and correct for skew and tangential scale distortion
REMOTE SENSING,Science Essentials,Computer Science,Application,"Describe the relationship between IFOV, sensor resolution, and altitude"
REMOTE SENSING,Science Essentials,Computer Science,Mastery,Solve differential equations
REMOTE SENSING,Science Essentials,Computer Science,Mastery,Code numeric solutions using Taylor approximation and similar computational methods
REMOTE SENSING,Science Essentials,Computer Science,Mastery,Use advanced engineering skills to design and build sensors and systems
REMOTE SENSING,Science Essentials,Computer Science,Mastery,Use advanced engineering skills to design and build launch and delivery systems for remote sensing interests
REMOTE SENSING,Sensors,Digital Sensors,Application,Differentiate between a sensor and a platform
REMOTE SENSING,Sensors,Digital Sensors,Application,"Compare and contrast sun-synchronous, geo-stationary, and polar orbits"
REMOTE SENSING,Sensors,Digital Sensors,Application,Compare and contrast ascending and descending orbital trajectories
REMOTE SENSING,Sensors,Digital Sensors,Application,"Define swath, nadir, and revisit period"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Differentiate between visible, thermal, IR, multi-spectral and hyper-spectral applications"
REMOTE SENSING,Sensors,Digital Sensors,Application,Define a passive sensor
REMOTE SENSING,Sensors,Digital Sensors,Application,Identify passive sensor systems from a list of remote sensing systems
REMOTE SENSING,Sensors,Digital Sensors,Application,Define an active sensor
REMOTE SENSING,Sensors,Digital Sensors,Application,Identify active sensor systems from a list of remote sensing systems
REMOTE SENSING,Sensors,Digital Sensors,Application,Define parallax and view direction
REMOTE SENSING,Sensors,Digital Sensors,Application,"Given a diagram, label the major components of a single sensing element"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Given a diagram, label the major components of a line sensor system"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Given a diagram, lable the major components of an array sensor system"
REMOTE SENSING,Sensors,Digital Sensors,Application,Differentiate between across-track and along-track imaging
REMOTE SENSING,Sensors,Digital Sensors,Application,Describe how a single sensing element works with linear mechanical motion and a flat sensor arranged as a strip
REMOTE SENSING,Sensors,Digital Sensors,Application,Describe how a single sensing element works with linear mechanical motion and a sensor arranged as a ring
REMOTE SENSING,Sensors,Digital Sensors,Application,"List the general phenomena measured by remote sensing systems (time, intensity, distance)"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Describe the use of the following sensor types: laser altimeter, lidar, rangefinder, scatterometer, sounder, hydrographic echo sounder, radar, and sonar"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Describe the use of the following sensor types: radiometer, spectrometer, spectroradiometer, accelerometer, panchromatic camera, imaging radiometer, and thermal infrared sensor"
REMOTE SENSING,Sensors,Digital Sensors,Application,Match sensor type to the wavelength in which it measures
REMOTE SENSING,Sensors,Digital Sensors,Application,Match the appropriate EM spectrum to the radiometer type provided
REMOTE SENSING,Sensors,Digital Sensors,Application,Match sensor types to mission requirements
REMOTE SENSING,Sensors,Digital Sensors,Application,Match mission requirements to end-user needs (Example: The end user needs to estimate wildland fire danger)
REMOTE SENSING,Sensors,Digital Sensors,Application,"Differentiate among K, Ka, Ku, X, C, ERS-1, ERS-2, RADARSAT, S, L, and P microwave bands and their uses"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Differentiate among HH, HV, VV, and VH transmit and receive polarizations and their uses"
REMOTE SENSING,Sensors,Digital Sensors,Application,"Define look angle, slant range distance, and ground range distance"
REMOTE SENSING,Sensors,Digital Sensors,Application,Describe the purpose and process of increasing azimuth resolution for microwave systems
REMOTE SENSING,Sensors,Digital Sensors,Application,Compare and contrast layover and foreshortening
REMOTE SENSING,Sensors,Quantization,Application,Describe the process of signal acquisition and transduction from kinetic to potential energy
REMOTE SENSING,Sensors,Quantization,Application,Describe the process of sampling as it relates to quantization and pixel size
REMOTE SENSING,Sensors,Quantization,Application,Describe dynamic range
REMOTE SENSING,Sensors,Quantization,Application,Relate sampling to signal amplitude
REMOTE SENSING,Sensors,Quantization,Application,Define quantization
REMOTE SENSING,Sensors,Quantization,Application,Compare and contrast linear versus coordinate indexing
REMOTE SENSING,Sensors,Quantization,Application,Compare and contrast spatial and intensity resolution
REMOTE SENSING,Sensors,Quantization,Application,Describe the relationship between detected intensity and output voltage
REMOTE SENSING,Sensors,Quantization,Application,Describe the general process of calibrating sensors
REMOTE SENSING,Sensors,Quantization,Application,Relate bit depth to image color
REMOTE SENSING,Sensors,Quantization,Application,List the factors which effect sensor calibration and the means used to minimize their influence
REMOTE SENSING,Sensors,Film,Application,"List three factors contributing the creation of an exposed frame of film, sometimes referred to as the exposure triangle."
REMOTE SENSING,Sensors,Film,Application,"List the units used to measure aperture, film sensitivity, and time"
REMOTE SENSING,Sensors,Film,Application,"List the abbrevations commonly used to describe aperture, film sensitivity, and time"
REMOTE SENSING,Sensors,Film,Application,"Describe a ""stop"""
REMOTE SENSING,Sensors,Film,Application,"Define, with respect to film, the terms: sensitometry, density, transmission, and opacity"
REMOTE SENSING,Sensors,Film,Application,Describe the relationship between film density and its exposure to light
REMOTE SENSING,Sensors,Film,Application,"Given a sample characteristic curve for film, identify the areas representing mid-tones, highlights, and shadows."
REMOTE SENSING,Sensors,Film,Application,Relate Dmin and Dmax in film photography to its digital imagery equivalent
REMOTE SENSING,Sensors,Film,Application,Describe the relationship between contrast and a characteristic curve
REMOTE SENSING,Sensors,Film,Application,"Provide the digital pixel equivalent dimensions for a full frame, 4/3, and 4x6 photograph"
REMOTE SENSING,Sensors,Film,Application,List the standard film speeds from 0 to 800.
REMOTE SENSING,Sensors,Film,Application,Describe ISO
REMOTE SENSING,Sensors,Film,Application,Describe the relationship between contrast index and development time
REMOTE SENSING,Sensors,Film,Application,Describe the process of converting film to digital
REMOTE SENSING,Sensors,Film,Application,Identify major considerations for converting film to digital format
REMOTE SENSING,Sensors,Film,Application,Compare and contrast the advantages and disadvantages of multi-band film areal photography with the use of multi-band digital imaging
REMOTE SENSING,Sensors,Film,Application,"Given a case study, select the appropriate satellite platform(s) from among the following for obtaining the needed data: GOES, Landsat, AVHRR, MODIS, DMSP, WordView, SPOT, IRS, MEIS-II, CASI, Nimbus, Sentinel 3B, Sentinel 5, Aqua and SeaWiFS"
REMOTE SENSING,Sensors,Film,Mastery,"Given a description of a target and the desired use of collected data, select the appropriate sensor package "
REMOTE SENSING,Targets,Film,Mastery,List the potential outcomes for radiation striking a target
REMOTE SENSING,Targets,Film,Mastery,Differentiate between specular and diffuse reflection
REMOTE SENSING,Targets,Film,Mastery,List the major plant phytochemicals and the wavelengths in which they are active
REMOTE SENSING,Targets,Film,Mastery,Describe the effects of seasonality on remote sensing processes associated with vegetative life
REMOTE SENSING,Targets,Film,Mastery,"Calculate SVI, NDVI, and "
REMOTE SENSING,Targets,Film,Mastery,Describe the spectral characteristics of water
REMOTE SENSING,Targets,Film,Mastery,"Identify how sediment, salinity, temperature, and algae/phytoplankton effect the remote sensing of water"
REMOTE SENSING,Targets,Film,Mastery,Describe the effects of AFOV on target detection and interpretation
REMOTE SENSING,Targets,Film,Mastery,Describe the relationship between wavelength and surface roughness
REMOTE SENSING,Targets,Film,Mastery,Define corner reflection and its effects on image interpretation
REMOTE SENSING,Targets,Film,Mastery,Describe the effects of target moisture content on microwave remote sensing images
REMOTE SENSING,Targets,Film,Mastery,Define speckle and the means by which it is overcome
REMOTE SENSING,Targets,Film,Mastery,Define volume scattering and the means by which it is overcome
REMOTE SENSING,Targets,Film,Mastery,Define antenna pattern and the means by which it is overcome
REMOTE SENSING,Targets,Film,Mastery,Describe bi-temporal and multi-temporal characteristics associated with common targets
REMOTE SENSING,Targets,Film,Mastery,Describe stokes vectors in association with common targets and when they are considered
REMOTE SENSING,Targets,Film,Mastery,Describe relief displacement and relate it to terrain types
REMOTE SENSING,Targets,Film,Mastery,
REMOTE SENSING,Targets,Film,Mastery,
REMOTE SENSING,Positioning,Film,Mastery,"Compare and contrast photogrammetry, radargrammetry, and interferometry"
REMOTE SENSING,Positioning,Film,Mastery,Summarize sensor parameters that should be considered when performing geometric registration.
REMOTE SENSING,Positioning,Film,Mastery,Describe the process of using polarization to determine elevation
REMOTE SENSING,Positioning,Film,Mastery,Describe the use of fiduciary marks
REMOTE SENSING,Positioning,Film,Mastery,Differentiate among orthometric height and elevation
REMOTE SENSING,Positioning,Film,Mastery,Describe the purpose and process of deriving elevation from visible imagery
REMOTE SENSING,Positioning,Film,Mastery,Define ground reference points and their use in positioning an image
REMOTE SENSING,Positioning,Film,Mastery,Describe the process of using a least squares method to adjust the position of an image
REMOTE SENSING,Positioning,Film,Mastery,"Describe the errors created by adjusting the position of an image using rubber sheeting, rotation, and least squares fitting"
REMOTE SENSING,Positioning,Film,Mastery,"Describe the process, advantages, and disadvantages of mosaiking an image set with respect to positioning"
REMOTE SENSING,Positioning,Film,Mastery,
REMOTE SENSING,Positioning,Film,Mastery,"Create algorithms for positioning imagery with respect to custom coordinate systems, locations with extreme terrain relief, and fine scale needs"
REMOTE SENSING,Positioning,Film,Mastery,Develop automated systems for positioning imagery
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe metadata
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,List the key elements required for metadata with respect to most all remote sensing products
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe phase and phase differentiation
REMOTE SENSING,Image Analysis and Signal Processing,Film,Mastery,Describe the additional concerns needed for terrestrial image processing
